web-scraper-order,web-scraper-start-url,program_name,program_name-href,description,eligibilty_criteria
"1582865735-10","https://www.vu.edu.pk/pages/AllPrograms.aspx","Mathematics","https://www.vu.edu.pk/pages/MscMathematics.aspx","M.Sc. Mathematics is 2-year  program which has been designed especially for those who wish to enter this highly exciting and challenging field to meet the growing need of mathematics in the rapidly evolving 21st century job market. The program provides a strong base that will enable the graduates to capitalize on the increasing career opportunities in this sector. This specialization provides a highly demanded expertise, great mobility, flexibility, and an impressive range of possible career choices in this area.","Note:"
"1582865848-64","https://www.vu.edu.pk/pages/AllPrograms.aspx","B.Ed. Elementary (2-Year)","https://www.vu.edu.pk/pages/Bed2Year.aspx","The proposed Bachelor of Education degree in Elementary Education is designed to help prospective teachers develop the required pedagogical knowledge and skills to teach different subjects in elementary grades in public and private sector. The proposed program has emphasis on practical knowledge of teaching and students would develop a strong understanding of education after learning about foundations of education, learning theories and classroom assessment techniques.","After completing the Bachelor of Education degree in Elementary Education, the students will:"
"1582865863-71","https://www.vu.edu.pk/pages/AllPrograms.aspx","Information Technology","https://www.vu.edu.pk/pages/pgdit.aspx","Post Graduate Diploma in Information Technology has been designed to equip students with an integrated set of skills that will allow them to develop their professional careers in the field of Information Technology.","Bachelor’s degree from a recognized university/ institute in any discipline with at least 45% marks or CGPA 2.00 out of 4."
"1582865716-1","https://www.vu.edu.pk/pages/AllPrograms.aspx","Zero Semester","https://www.vu.edu.pk/pages/ZeroSemester.aspx","null",""
"1582865857-68","https://www.vu.edu.pk/pages/AllPrograms.aspx","M.Ed. (1-Year)","https://www.vu.edu.pk/pages/Med1Year.aspx","The Master of Education (M.Ed.) degree program is designed for people having one year B.Ed. after fourteen or sixteen years of education or three years B.S.Ed. after intermediate. They may be in-service teachers in any public or private school or college or yet have not joined the teaching profession. This degree will provide them an opportunity to enhance their knowledge, skills and qualification that may help them in performing the jobs in better way, upgrade their professional status and lead to further higher education degree programs.","Note:"
"1582865890-84","https://www.vu.edu.pk/pages/AllPrograms.aspx","Computer Science","https://www.vu.edu.pk/pages/mscs_new.aspx","Master of Science in Computer Science is being offered by the Department of Computer Science. The program is designed to produce academicians and professionals of high quality. The designed course work provides depth and breath-based knowledge of core computer science areas (as identified by the HEC), moreover specialization courses enable students to develop advanced expertise in their chosen area of specialization. Currently, following specializations are being offered:","Program Objectives"
"1582865773-28","https://www.vu.edu.pk/pages/AllPrograms.aspx","Accounting & Finance","https://www.vu.edu.pk/pages/pgdAF.aspx","Post Graduate Diploma in Accounting & Finance has been designed to cater the ever-increasing demand in the industry for accounting and finance professionals who are more conceptually equipped and academically sound to take the challenges of day to day organizational tasks. Today’s finance world demands more competitive, specific, innovative and tailor-made skills for survival in a globalized business environment. The diploma will also provide a way-in to those having no prior knowledge but intend to join a higher study program.","However, candidates having less than 45% marks will be eligible for admission after successful completion of “Zero  Semester”."
"1582865921-99","https://www.vu.edu.pk/pages/AllPrograms.aspx","Applied Psychology","https://www.vu.edu.pk/pages/MScAppPsychology.aspx","Now-a-days, the field of Psychology is gaining a lot of attention and demand in the professional market. Psychologists are becoming an essential part of all the major spheres of market and industry globally. Every organization, no matter what domain it belongs to, is hiring psychologists to ensure the mental health of its human resources. The same trend is becoming increasingly functional in Pakistan as well. In this regard, the demand for higher educational qualification in this field is also increasing. The M.Sc. (Applied Psychology) Degree Program offers students with an excellent opportunity to gain in-depth knowledge for professional purposes. The program prepares graduates to enter or further continue their careers as professional psychologists in educational institutes, NGOs, armed forces and government as well as in private sector.","Bachelor’s Degree (14-year education) with ‘Psychology’ as an elective subject (or any other relevant equivalent qualification) from a recognized University/Institute with a minimum of 45% marks or CGPA  2.00 out of 4"
"1582865740-12","https://www.vu.edu.pk/pages/AllPrograms.aspx","Molecular Biology","https://www.vu.edu.pk/pages/MS_Molecular_Biology.aspx","Molecular Biology is a branch of science which explores cellular structures, characteristics and pays special attention to the molecules which control cell activities and growth etc. The field of molecular biology bridges biology & chemistry particularly genetics & biochemistry. There is hardly any area in biological advancement that is not influenced by molecular biology techniques. The students will get the opportunity to conduct a specific research project during the MS degree. This degree can serve as a link for candidates pursuing higher education towards Ph.D. The graduates will be able to work in organizations like pharmaceutics, diagnostic laboratories, biologics production units, biosecurity & biosafety departments, accreditation labs, teaching as well as research organizations.","The 16-year education i.e. BS/MSc in Molecular Biology/ Biotechnology/ Genetics/ Biological Sciences or equivalent with at least 1st Division in annual system or at least CGPA 2.50 out of 4 in semester system."
"1582865782-32","https://www.vu.edu.pk/pages/AllPrograms.aspx","Supply Chain Management","https://www.vu.edu.pk/pages/AssociateDegree_SCM.aspx","The Associate Degree Program in Supply Chain Management has been designed for candidates having 12-years education who want to be capable of dealing with routine tasks of supply chain including procurement, distribution, warehousing and logistics; understand how to  implement supply chain strategies ; to learn to evaluate supply chain practices for continuous improvement and quality enhancement; and gain in-depth knowledge related to supply chain, align themselves with the latest developments and in creating capacity building by applying their knowledge practically. The graduates of the proposed program are expected to be employed by public sector enterprises and private corporations at entry level jobs in procurement, warehouse/ logistics, sales/ distribution, quality control and operations departments.","Note"
"1582865786-34","https://www.vu.edu.pk/pages/AllPrograms.aspx","Operations Management","https://www.vu.edu.pk/pages/AssociateDegree_OM.aspx","The Associate Degree Program in Operations Management has been designed for candidates having 12-years education who want to have distinctive opportunity to develop enough skills to face the challenges of contemporary industries and markets; to become capable of dealing with routine tasks at production/ operations department; to be able to evaluate operations for continuous improvement and quality enhancement; and learn in-depth knowledge related to production/ operations.","Note"
"1582865892-85","https://www.vu.edu.pk/pages/AllPrograms.aspx","Computer Science","https://www.vu.edu.pk/pages/PhD_ComputerScience.aspx","null","Click here to View Study Scheme"
"1582865771-27","https://www.vu.edu.pk/pages/AllPrograms.aspx","Banking & Finance","https://www.vu.edu.pk/pages/pgdBF.aspx","Post Graduate Diploma in Banking & Finance has been designed to provide insight of banking and finance knowledge to those who are either already serving the industry or intend to join in rapidly expanding banking sector. Furthermore, the program will provide relevant knowledge to those who do not have any prior knowledge of the field but they are willing to enter the disciplines of banking and finance in order to continue their higher studies in the future.","Bachelor’s degree from a recognized university/ institute in any discipline with at least 45% marks or CGPA 2.00 out of 4."
"1582865719-2","https://www.vu.edu.pk/pages/AllPrograms.aspx","Certificate Courses","https://www.vu.edu.pk/AcademicPrograms/CertificateCourses.aspx","The Virtual University has introduced Certificate Course(s) for professionals working in the industry as well as for the public at large. The purpose of these is to retrain professionals in new emerging areas of Science & Technology as well as provide the public with an opportunity to learn basic subjects which may be of general interest. Certificate Courses are offered in five disciplines: Computer Science, General Science, Humanities, Management and Mathematics.","Candidate can read, write and understand English language and there is no restriction on age, sex and educational qualifications. Candidate can apply for admission to maximum four (04) courses during a semester. However, students already enrolled in a Virtual University degree/diploma program are ineligible for admission towards certificate course(s)."
"1582865742-13","https://www.vu.edu.pk/pages/AllPrograms.aspx","Mathematics","https://www.vu.edu.pk/pages/MS_Mathematics.aspx","Department of Mathematics and Statistics offers Master of Science in Mathematics which is a research based degree program. Mathematics as a subject has found tremendous acknowledgement in almost all areas of sciences and humanities. The program is designed for students’ needs and interests, with either a thesis or course work option. Mathematical techniques have been found very effective in decision making, which has increased its demand in different fields. This program serves as a bridge for candidates pursuing PhD program.","Candidates having 16-year education, i.e. M.Sc. Mathematics (2-year) or BS Mathematics (4-year) or equivalent with at least CGPA 2.50 out of 4 or 1st division wherein GPA system is not implemented."
"1582865832-56","https://www.vu.edu.pk/pages/AllPrograms.aspx","Accounting & Finance","https://www.vu.edu.pk/pages/moaf.aspx","The Master of Accounting and Finance program provides a unique and comprehensive blend of key areas of accounting and finance. This program covers specialized topics like financial reporting, auditing, taxation, corporate finance, investments, and business strategy etc. This program is highly appropriate for the students who are interested in joining careers in business, services, and academic research in the domain of accounting or finance. The program is equally beneficial for in-service people who are looking for advancement in their career and knowledge.","Note"
"1582865763-23","https://www.vu.edu.pk/pages/AllPrograms.aspx","Human Resource Management","https://www.vu.edu.pk/pages/pgdhrm.aspx","Post Graduate Diploma in Human Resource Management has been designed with a core purpose of developing HR skills in practitioners to equip them with required competence in the field of Human Resource Management. The program is equally helpful for all business graduates, non-business graduates, doctors, engineers and other specialists serving in HR departments or those intend to pursue their higher studies in the field of HRM but have no previous knowledge.","However, candidates having less than 45% marks will be eligible for admission after successful completion of “Zero  Semester”."
"1582865759-21","https://www.vu.edu.pk/pages/AllPrograms.aspx","Public Administration","https://www.vu.edu.pk/pages/pgdpa.aspx","Post Graduate Diploma in Public Administration has been designed with a core purpose of developing public-personnel to meet the contemporary challenges with a true sense of public service. The program is especially helpful for all business graduates, non-business graduates, doctors, engineers and other specialists serving in public sector organizations or those intend to pursue their higher studies in the field of Public Administration but have no previous knowledge. Students seeking their career in public organizations as well as NGOs can also be the wonderful beneficiaries of this program.","However, candidates having less than 45% marks will be eligible for admission after successful completion of “Zero  Semester”."
"1582865836-58","https://www.vu.edu.pk/pages/AllPrograms.aspx","MBA (Equivalent to MS)","https://www.vu.edu.pk/pages/MBAEqMS.aspx","null","Candidates having 16-year education [BS in Business Administration, BS in Commerce, BBA (Accounting & Finance), BBA (Banking & Finance), BS (Accounting & Finance), BS (Banking & Finance), BBA(IT/MIS), BS (Management), BS (Marketing), MBA (Accounting & Finance), MBA (Banking & Finance), MBA (IT/MIS), Old MBA, MBS, M.Com, ACMA, ACA, and VU graduates holding BS (Public Administration), Master of Accounting, Master of Finance, Master of Accounting & Finance,  Master of Banking & Finance and MBA-Executive (72-Cr. Hrs.)] degrees and other relevant equivalent qualification with at least Cumulative Grade Point Average (CGPA) 2.50 out of 4 / 1st division, wherein GPA system is not implemented, are eligible to apply. However, the candidates will also be required to qualify VU Entry Test (with minimum 50% marks)."
"1582865878-78","https://www.vu.edu.pk/pages/AllPrograms.aspx","Information Technology","https://www.vu.edu.pk/pages/bsit.aspx","The Department of Computer Science offers a four-year program leading to either a BS degree in Information Technology. The specialization is determined by the choice of required and elective courses taken by a student. The programs are designed to meet the growing need for computer science / IT experts in the rapidly evolving 21st century economy. Their mission is to provide graduates with a strong Computer Science / IT base that will enable them to capitalize on the increasing career opportunities in the information technology sector, to expand the limits of their knowledge by pursuing further studies, and to explore innovative approaches to computer or information technology related problems. These specializations provide highly demanded expertise, a great mobility and flexibility, and an impressive range of possible career choices in the IT industry.","Intermediate (equivalent to 12 years of education) with at least 45% marks."
"1582865744-14","https://www.vu.edu.pk/pages/AllPrograms.aspx","Zoology","https://www.vu.edu.pk/pages/MS_Zoology.aspx","The Department of Biology offers MS program in Zoology which has been designed to address the future challenges to our World and preparing the graduates to help in identifying and suggesting solutions for either stopping or at least slowing down the process of rapid change taking place. The program aims to develop researchers to serve in universities, Institutes for ecology, environmental agencies, healthcare, molecular biology, conservation & forest management, climate change, scientific publishing, public education (zoos, museums, nature reserves, scientific societies etc.), biomedical sciences, diagnosing genetic disorders, National Institute of Oceanography, Wildlife Conservation and Management, Public and Private Sectors, Forensic Department, Environmental Institutions and Pathological Laboratories.","16-year education i.e., BS/MSc in Zoology/Biology, BS in Biotechnology / Microbiology / Environmental Sciences / Bioinformatics / Biochemistry / Forestry, Agriculture, Public health or in related sciences / MBBS / DVM or equivalent with at least 1st Division in annual system or at least CGPA 2.50 out of 4 in semester system."
"1582865757-20","https://www.vu.edu.pk/pages/AllPrograms.aspx","Additional Specialization Certification","https://www.vu.edu.pk/pages/AdditionalSpecialization.aspx","null","Candidate must have completed at least 16-year of education in any discipline from a recognized University/Institution."
"1582865821-51","https://www.vu.edu.pk/pages/AllPrograms.aspx","Commerce (M.Com)","https://www.vu.edu.pk/pages/mcom.aspx","The Master of Commerce (M.Com) degree program concentrates on commerce, management and economics related subjects. The program covers core competencies in accounting, finance and e-commerce. This innovative program is designed for candidates intend to pursue their career in the fields of accounts / finance and are either at the beginning or mid of their professional career.","Note"
"1582865867-73","https://www.vu.edu.pk/pages/AllPrograms.aspx","Computer Science","https://www.vu.edu.pk/pages/AssociateDegree_CS.aspx","The Department of Computer Science offers a regular 2-year degree program which has been designed to equip the students with requisite knowledge and provide Computer Science skills that will enable them to capitalize on the increasing career opportunities in the computer science sector and to expand the limits of their knowledge by pursuing further studies.","Admission Eligibility Criteria"
"1582865871-75","https://www.vu.edu.pk/pages/AllPrograms.aspx","Database Management System","https://www.vu.edu.pk/pages/AssociateDegree_DBMS.aspx","The Department of Computer Science offers a 2-year Associate Degree Program in Database Management System and is equivalent to a 14-year Bachelor Degree. Database Management System is dynamic field that all organizations demand to computerize their existing system in order to meet the challenges of the 21st century that is on the cutting edge of computer technology as there is always a need for the professionals Database designer and developer. This new and exciting degree program offered by Virtual University of Pakistan equips you with such skills and enables you to develop Databases using latest tools and techniques. During this study program you will learn to develop Database Modeling and Design, Database Programming using Oracle 11i, Web based Database Applications, Programming techniques, Information Security as well as advanced Concept of Cloud based Applications, Visual Programming and Big Data Concepts.","The program will enable the students"
"1582865817-49","https://www.vu.edu.pk/pages/AllPrograms.aspx","Human Resource Management (MHRM)","https://www.vu.edu.pk/pages/MaterHRM.aspx","The Masters of Human Resource Management (MHRM) has been designed for those who want to excel their career in human resource management. This program is ideal for current and aspiring HR professionals who are in the quest of sharpening their HRM skills and effectively dealing contemporary issues related to the management of human resource. The courses offered under this program will enable the graduates how to manage and develop human resources, performance management, labor laws and industrial relations and leadership. This program will also give an opportunity to learn from highly competent and experienced faculty.","Bachelor’s degree equivalent to 14-year education from a recognized University/Institute with at least 45% marks or CGPA 2.00 out of 4."
"1582865755-19","https://www.vu.edu.pk/pages/AllPrograms.aspx","For Admission towards MSBA/ MBA (Equivalent to MS)","https://www.vu.edu.pk/pages/deficiency_msba.aspx","The candidates with 16-year non-business education [BE, MBBS, MA, M.Sc., and other equivalent qualifications from a recognized university/institution] will be required to qualify at least 36-credit hours of deficiency business courses before they could become eligible for admission towards MS in Business Administration program.","Course Exemption"
"1582865801-41","https://www.vu.edu.pk/pages/AllPrograms.aspx","BS (Management)","https://www.vu.edu.pk/pages/bsmngt.aspx","The Faculty of Management offers a 4-year 8 semester program leading to a BS Degree in Management. The program has been designed for candidates having 12-years education who want to adopt business as career and like to enhance their management skills. The program is expected to provide opportunities to the students to learn latest management techniques being used in the business world. Student with formal intermediate can join this degree program. It is an innovative program designed to help individuals develop management skills to solve daily problems faced by modern businesses.  It engages students to match their competencies with the market to allow them to not only search out existing opportunities but also curve out their own.","Note"
"1582865911-94","https://www.vu.edu.pk/pages/AllPrograms.aspx","Mass Communication","https://www.vu.edu.pk/pages/BSMassComm.aspx","The Bachelors of Science in Mass Communication strives to provide students with a creative, diverse, and challenging academic environment that encourages risk-taking and promotes an examination of human values, cultural differences, and social questions and to prepare students for areas in the print and telecommunications media sectors.","Intermediate (equivalent to 12 years of education) with at least 45% marks."
"1582865723-4","https://www.vu.edu.pk/pages/AllPrograms.aspx","Zoology","https://www.vu.edu.pk/pages/BS_Zoology.aspx","BS Zoology has been designed to meet the rapidly changing world. This subject has significant role in human resource development, food security, environmental conservation, sustainable development and ultimately in alleviation of poverty. The program is solidly grounded in the basic sciences (general biology, chemistry and math) needed to understand the latest research in the biology of animals. It also allows a wide range of choice in upper level animal biology courses permitting students to tailor their degrees to their particular interests within zoology. Students will just have to attend the university lab once in a year for a period of three weeks only, while rest of the time they can study online at their own houses.","Note:"
"1582865794-38","https://www.vu.edu.pk/pages/AllPrograms.aspx","Bachelor of Business & Information Technology (BBIT)","https://www.vu.edu.pk/pages/bbit.aspx","Bachelor of Business & Information Technology (BBIT) is a 4- year 8 semester program. Students are offered courses in Business and Information Technology which blend into a coherent and professional degree program. The Bachelor of Business Information Technology (BBIT) is designed to provide students with expertise in the development and use of computer systems for solving business problems and making managerial decisions.","Note"
"1582865876-77","https://www.vu.edu.pk/pages/AllPrograms.aspx","Software Engineering","https://www.vu.edu.pk/pages/bsse.aspx","The Departments of Computer Science & Information Technology of Virtual University of Pakistan has proposed to offer 4-year BS in Software Engineering program to fulfill the needs of rapidly growing market of software development in the country. The BS in Software Engineering degree will equip students with technical knowledge of the fundamentals of computer systems, programming languages, and the mathematical foundations of algorithms and data structures that are required to establish reliability and safety in software. The course emphasizes the development of professional skills in the technical area of software engineering, that is, the systematic application of analysis, design, and construction techniques for computer systems and applications.","Intermediate (equivalent to 12 years of education) with at least 45% marks."
"1582865784-33","https://www.vu.edu.pk/pages/AllPrograms.aspx","Sales and Marketing","https://www.vu.edu.pk/pages/AssociateDegree_SnM.aspx","The Associate Degree Program in Sales and Marketing has been designed for candidates having 12-years education who want to develop knowledge of working in a sales and marketing business in the local & global marketplace; demonstrate an understanding of the basics of marketing and supply chain management; develop the skills to understand and implement business plans; enhance the skills necessary to formulate and plan selling the products; and understand the promotion and delivery of products or services as a key element in response to customer requirements. The graduates of the proposed program are expected to be self-employed or employed by public enterprises and private corporations at entry level jobs in marketing, procurement and sales/ distribution departments.","Note"
"1582865778-30","https://www.vu.edu.pk/pages/AllPrograms.aspx","Commerce","https://www.vu.edu.pk/pages/AssociateDegree_commerce.aspx","The Associate Degree in Commerce is a regular 2-year degree program which has been designed to equip the students with adequate knowledge and skills which would help them taking an early start of their professional career so that they can earn their livings and support their families too.","Admission Eligibility Criteria"
"1582865865-72","https://www.vu.edu.pk/pages/AllPrograms.aspx","Computer Science","https://www.vu.edu.pk/pages/pgdcs.aspx","Post Graduate Diploma in Computer Science has been designed for those who are willing to adopt Computer Science as an area for their higher education. It is designed to give students a complete walk through the field and to provide an enduring foundation for future professional growth. PGD in Computer Science prepares students with ability to undertake technical assignments in their organizations.","Bachelor’s degree from a recognized university/ institute in any discipline with  at least 45% marks or CGPA 2.00 out of 4."
"1582865792-37","https://www.vu.edu.pk/pages/AllPrograms.aspx","Accounting & Finance","https://www.vu.edu.pk/pages/AssociateDegree_AF.aspx","The Associate Degree in Accounting & Finance has been designed for candidates having 12-years education who want to have distinctive opportunity to study the theory and practice relating to accounting and finance, develop the proficiency in the application of accounting & finance principles in the financial and corporate sectors and to be absorbed at entry level positions in the ever demanding and rewarding field of accounting and finance.","Note"
"1582865765-24","https://www.vu.edu.pk/pages/AllPrograms.aspx","Finance","https://www.vu.edu.pk/pages/pgdf.aspx","Post Graduate Diploma in Finance has been designed to produce/ develop professionals having relevant subject knowledge and ability to fulfill the needs of career positions in the Finance Department of private as well as public sector organizations.  The program is equally good for serving professional willing to update their existing knowledge in short period of time and students willing to develop their career in the financial services sector.  Furthermore, the program will provide the students a solid foundation while pursuing their higher degree in the field of Finance.","However, candidates having less than 45% marks will be eligible for admission after successful completion of “Zero  Semester”."
"1582865738-11","https://www.vu.edu.pk/pages/AllPrograms.aspx","Statistics","https://www.vu.edu.pk/pages/MscStatistics.aspx","M.Sc. Statistics program is designed to give students a solid foundation in statistics and enabling them to prepare for careers as statisticians in industry, business and academia. Statistics is one of the most important fields of study in the world. There is constant demand for trained statisticians is notably strong and increasing. Graduates will apply their knowledge of statistical methods to a variety of subject areas, such as life sciences, economics, engineering, physical sciences, psychology, marketing and education.","Note:"
"1582865861-70","https://www.vu.edu.pk/pages/AllPrograms.aspx","For Admission towards MCS/MIT","https://www.vu.edu.pk/pages/deficiency_mcsmit.aspx","The University encourages the candidates who intend to peruse their career in the field of Computer Science or Information Technology but have not studied required prescribed subject in their Bachelor/equivalent degree, details are available under MCS and MIT programs. They can become eligible for admission to MCS/MIT After successful completion of prescribed deficiency courses.","Candidates who have at least 45 % marks in their graduation or CGPA 2.00 out of 4 but have not studied any one of the required subjects during the Bachelor/equivalent Degree i.e. Mathematics, Physics, Computer Science, Statistics, Economics or Engineering."
"1582865828-54","https://www.vu.edu.pk/pages/AllPrograms.aspx","Business Administration (MBA)-Executive)","https://www.vu.edu.pk/pages/mbaexec.aspx","The Faculty of Management offers a 2-year program leading to an MBA (Executive) degree. The program is designed for candidates having 14-year of education with 4-year job experience at Managerial cadre who want to adopt business as career and like to enhance their professional business skills. The program provides opportunities to learn special business techniques required to excel in the challenging and rapidly changing world. The student can opt any one of the areas of specialization including ‘Banking’, ‘Finance’, ‘Human Resource Management’, Information Technology’, ‘Management’ and ‘Marketing’. (Note: The one year Business Education program after 14 years education shall be equal to a Diploma in Business Administration).","At least 2nd division (minimum 45 % marks)."
"1582865824-52","https://www.vu.edu.pk/pages/AllPrograms.aspx","Business Studies (MBS) Equivalent to BBS - Leading to MBA /MSBA","https://www.vu.edu.pk/pages/mbs.aspx","The MBS program offered by the Department of Management Sciences is in-line with the roadmap for business studies approved by National Business Education Accreditation Council (NBEAC) and curriculum revised by Higher Education Commission of Pakistan. After successful completion of the program, candidates can become eligible for taking admission to MBA (Eq. to MS)/ MSBA.  The program bridges the gap for the candidates who have not taken business courses during their 2-year Bachelor’s degree (14-year education) or equivalent degree from a recognized university/ institution and now intend to pursue education in the area of business studies. The program is equivalent to BBS and old MBA (16-year education).","Course Exemption"
"1582865873-76","https://www.vu.edu.pk/pages/AllPrograms.aspx","Computer Networking","https://www.vu.edu.pk/pages/AssociateDegree_CN.aspx","The Department of Computer Science offers a 2-year Associate Degree Program in Computer Networking and is equivalent to a 14-year Bachelor Degree. Computer Networking is a dynamic field that all organizations demand to computerize their existing system in order to meet the challenges of the 21st century that is on the cutting edge of computer technology and can be seen everywhere they connect people all over the world. This new and exciting degree program offered by Virtual University of Pakistan equips you with such skills and enables you to develop network using latest tools and techniques. During this study program you will learn to develop network such as Design, Analysis, Modeling and Simulation of network, Cellular and Wireless Communication, Information and network Security as well as advanced Concept of Intrusion Detection System, 3G/ 4G Networks, Voice and Data Integration, Cyber laws and Cloud Computing.","The program will enable the students"
"1582865809-45","https://www.vu.edu.pk/pages/AllPrograms.aspx","BS (Banking & Finance)","https://www.vu.edu.pk/pages/bsbanfin.aspx","The Faculty of Management offers a 4-year 8 semester program leading to a BS Degree in Banking & Finance. The program is designed for candidates having 12-years education who want to adopt banking profession as career and enhance their banking skills. The program is expected to equip the students with latest banking techniques being used in the banking world.
Students having background in commerce, finance, mathematics, & business studies can take admission. Also, students having background in sciences, & arts wishing to change their career path to banking and finance can get admission.","Note"
"1582865909-93","https://www.vu.edu.pk/pages/AllPrograms.aspx","Psychology","https://www.vu.edu.pk/pages/bspsych.aspx","Psychology is the science of behavior and the mind. In the BS Program, the study of Psychology provides an understanding of the basic processes of sensation, perception, learning, cognition, development, and personality along with the principles of Social Psychology, Clinical Psychology, and Behavioral Neuroscience. The knowledge of psychological principles and scientific methods for evaluating theories and research in the Social Sciences is essential in our rapidly changing society.","Admission Eligibility Criteria"
"1582865752-18","https://www.vu.edu.pk/pages/AllPrograms.aspx","Biotechnology","https://www.vu.edu.pk/pages/PhD_Biotechnology.aspx","The PhD in Biotechnology is intended to train professionals in research in all fields of biotechnology. It is a domain of applied biology that uses living organisms and bioprocesses to produce products in order to gratify the human needs. The aim of higher studies in Biotechnology is to equip the students with theoretical and practical skills that are essential to transform natural resources into useful products and complete original and innovative high quality research projects in the national and international enterprises. The scholars may seek their career in educational institutes, scientific research institutes, biotechnology and pharmaceutical industry at national and international level.","The PhD program is divided into various phases, the interplay of which routes a student to successful completion of the doctorate degree as shown in the following figure."
"1582865869-74","https://www.vu.edu.pk/pages/AllPrograms.aspx","Web Design and Development","https://www.vu.edu.pk/pages/AssociateDegree_WDD.aspx","The Department of Computer Science offers a 2-year Associate Degree Program in Web Design and Development and is equivalent to a 14-year Bachelor Degree. Today’s businesses and organizations survive and thrive due to their presence in cyberspace. A dynamic and captivating websites enhances the business and, thus there is always a need for the professional web designers and developers. This new and exciting degree program offered by Virtual University of Pakistan equips you with such skills and enables you to develop websites/portals using cutting edge technology. During this study program you will learn to develop websites using PHP, PERL, CGI, MYSQL java, Dot Net Technologies, as well as advanced Web Services Development, Web Development for Portable Devices and Internet Marketing.","The program will enable the students"
"1582865788-35","https://www.vu.edu.pk/pages/AllPrograms.aspx","Human Resource Management","https://www.vu.edu.pk/pages/AssociateDegree_HRM.aspx","The Associate Degree Program in Human Resource Management has been designed for candidates having 12-years education who wish to develop understanding of basic management and business principles; want a strong understanding of human resource management and its functions to be performed at entry level position in the department of HR; and gain knowledge and practical skill set necessary to work in organizational settings.","Note"
"1582865896-87","https://www.vu.edu.pk/pages/AllPrograms.aspx","Applied Psychology","https://www.vu.edu.pk/pages/pgdAP.aspx","Post Graduate Diploma (PGD) in Applied Psychology has been designed with a core purpose of grooming skilled individuals in the field of Psychology. This study program will help tackling with rising mental health problems by producing skilled competent professionals for the field. The program is especially helpful for all psychology graduates, non-psychology graduates, doctors, nurses, social workers and other specialists serving in public/private sector organizations like NGOs or those intend to pursue their higher studies in the field of Psychology. Students seeking their career in Applied Psychology can also be the potential beneficiaries of this program.","Bachelor’s Degree from a recognized university/institute in any discipline with at least 45% marks or CGPA 2.00 out of 4"
"1582865855-67","https://www.vu.edu.pk/pages/AllPrograms.aspx","B.Ed. (Hons.) Elementary","https://www.vu.edu.pk/pages/BedHonsElem.aspx","Education is a growing sector which requires dealing and educating students with different learning capabilities/styles, and offers an exciting career with its own challenges and rewards. Elementary education is the first phase of education usually preceded by nursery or Montessori school education and followed by middle and secondary school education. In Elementary education, children are usually engaged in classes with one teacher, who becomes responsible for their education and well-being for the entire academic year. The continuity with a single teacher and the opportunity to build a close relationship within the class is a distinguishing characteristic of Elementary education. The teacher guides the students based on his/her abilities, competency and knowledge and becomes an ideal role model for the students. The basic objective of a Bachelor’s Degree in Education (Elementary) program is to equip prospective teachers with teaching tools and an in-depth knowledge of tomorrow’s educational challenges. Virtual University of Pakistan aims at developing dynamic and skilled elementary school teachers fluent in the use of latest technologies and well-versed with the latest advancements in knowledge and pedagogy.","Intermediate (equivalent to 12 years of education) with at least 45% marks."
"1582865851-65","https://www.vu.edu.pk/pages/AllPrograms.aspx","B.Ed. Secondary (1.5-Year)","https://www.vu.edu.pk/pages/Bed1-5Year.aspx","This program is designed for students who wish to pursue leadership roles at the different levels within educational organizations. The candidates will learn to manage organizations and develop solutions to issues in the education field. They will be able to apply research skills in the classroom and institutions and will use latest approaches to education.","After completing the program, the students will:"
"1582865815-48","https://www.vu.edu.pk/pages/AllPrograms.aspx","Operations & Supply Chain Management","https://www.vu.edu.pk/pages/MasterOpSup.aspx","Master of Operations & Supply Chain Management (MOSCM) is a comprehensive program that has been designed for those who want to excel their career in Operations and/or Supply Chain Management. This program is ideal for current and aspiring professionals who are in quest of sharpening their operations/ procurement skills and effectively dealing contemporary issues related to the organizational operations. The courses offered under this program will enable the graduates to develop and manage organizational systems, plan & control production, business operations and supply chain to gain competitive advantage.","Bachelor’s degree equivalent to 14-year education from a recognized University/Institute with at least 45% marks or CGPA 2.00 out of 4."
"1582865844-62","https://www.vu.edu.pk/pages/AllPrograms.aspx","Education","https://www.vu.edu.pk/pages/AssociateDegree_edu.aspx","The Associate Degree Program in Education (ADE) is designed to help in-service and prospective teachers of elementary grades in public and private sector schools by providing them an opportunity to enhance their academic qualification and polish their teaching skills by learning latest techniques of classroom management, assessment and evaluation.","Intermediate (equivalent to 12 years of education) with at least 45% marks."
